publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
14th Century English Mystics Newsletter	07375840		1974-12-01	1	1	1983-12-01	9	4	http://www.jstor.org/journal/14centengmystnew		14centengmystnew	P4Y	fulltext		Penn State University Press	serial						mysticsquarterly		P	1974-12-01 - 1983-12-01	Pennsylvania State University Press Package ; Religion Discipline Package ; Arts & Sciences V Collection ; Religion & Theology Collection	Humanities ; Religion	646932378	2010-250763
19th-Century Music	01482076	15338606	1977-07-01	1	1	2012-11-01	36	2	http://www.jstor.org/journal/19thcenturymusic		19thcenturymusic	P4Y	fulltext		University of California Press	serial								P	1977-07-01 - 2012-11-01	Arts & Sciences III Collection ; Music Discipline Package ; For-Profit Academic Arts & Sciences III Collection ; For-Profit Academic Music Collection ; Music Collection ; Public Library I Collection ; University of California Press Package	Arts ; Music	45954950	2001-214642
291	10547193		1915-03-01		1	1916-02-01		12	http://www.jstor.org/journal/291		291		fulltext	Publication of this title ceased in 1916.		serial								P	1915-03-01 - 1916-02-01	Arts & Sciences VIII Collection	Art & Art History ; Arts	448035264	2009235703
4S Review	07380526		1983-04-01	1	1	1985-12-01	3	4	http://www.jstor.org/journal/4sreview		4sreview		fulltext		Sage Publications, Inc.	serial						scietechstud	newsscietechhuma	P	1983-04-01 - 1985-12-01	Arts & Sciences II Collection	History ; History of Science & Technology	51204959	2002-227220
AA Files	02616823		1981-12-01		1	2015-01-01		70	http://www.jstor.org/journal/aafiles		aafiles	P1Y	fulltext		Architectural Association School of Architecture	serial								P	1981-12-01 - 2015-01-01	Arts & Sciences XI Collection	Architecture & Architectural History ; Arts	607455921	2013234419
AAA: Arbeiten aus Anglistik und Amerikanistik	01715410		1976-01-01		1	2014-01-01	39	1	http://www.jstor.org/journal/aaaarbeanglamer		aaaarbeanglamer	P2Y	fulltext		Narr Francke Attempto Verlag GmbH Co. KG	serial								P	1976-01-01 - 2014-01-01		American Studies ; Area Studies ; Humanities ; Language & Literature		
AAUP Bulletin	0001026X		1956-04-01	42	1	1978-12-01	64	4	http://www.jstor.org/journal/aaupbulletin		aaupbulletin	P4Y	fulltext		American Association of University Professors	serial						academe	bulamassunivprof	P	1956-04-01 - 1978-12-01	Arts & Sciences VIII Collection	Education ; Social Sciences	527923840	2010234817
A.A.V. Newsletter	21546312		1980-09-01	1	1	1986-10-01	7	3	http://www.jstor.org/journal/aavnewsletter		aavnewsletter	P4Y	fulltext		Association of Avian Veterinarians	serial						aavtoday		P	1980-09-01 - 1986-10-01	Biological Sciences Collection ; Life Sciences Collection	Biological Sciences ; Science & Mathematics ; Zoology	729520484	2011235736
AAV Today	08929904		1987-01-01	1	1	1988-12-01	2	4	http://www.jstor.org/journal/aavtoday		aavtoday	P4Y	fulltext		Association of Avian Veterinarians	serial						jassoavianvet	aavnewsletter	P	1987-01-01 - 1988-12-01	Biological Sciences Collection ; Life Sciences Collection	Biological Sciences ; Science & Mathematics ; Zoology	432344352	2009-235682
ABA Journal	07470088	21627983	1984-01-01	70	1	2012-12-01	98	12	http://www.jstor.org/journal/abaj		abaj	P4Y	fulltext		American Bar Association	serial							amerbarassoj	P	1984-01-01 - 2012-12-01	Arts & Sciences XII Collection	Law ; Law	38291739	2009-268193
ABA Journal of Affordable Housing & Community Development Law	10614354	21630305	1991-10-01	1	1	1994-07-01	3	4	http://www.jstor.org/journal/abajafhocodela		abajafhocodela	P4Y	fulltext		American Bar Association	serial						jaffhoucomdevlaw		P	1991-10-01 - 1994-07-01	Arts & Sciences X Collection	Law ; Law		
ABA Journal of Labor & Employment Law	21564809	23294604	2009-10-01	25	1	2012-10-01	28	1	http://www.jstor.org/journal/abajlabemplaw		abajlabemplaw	P4Y	fulltext		American Bar Association	serial							laborlawyer	P	2009-10-01 - 2012-10-01	Arts & Sciences X Collection ; Public Library I Collection ; Business & Economics Collection	Business & Economics ; Labor & Employment Relations ; Law ; Law	659741763	2011-268518
Ábaco	02136252		1986-07-01		1	2010-01-01		63	http://www.jstor.org/journal/abaco		abaco	P4Y	fulltext		Centro de Iniciativas Culturales y Estudios Economicos y Sociales (CICEES)	serial								P	1986-07-01 - 2010-01-01	Iberoamérica Collection ; Business & Economics Collection ; Arts & Sciences IX Collection ; Spanish-Portuguese Language Collection	Business & Economics ; Economics	60622761	2011234610
Aboriginal History	03148769	18379389	1977-01-01	1	1/2	2013-01-01	37		http://www.jstor.org/journal/aborhist		aborhist	P1Y	fulltext		ANU Press	serial								P	1977-01-01 - 2013-01-01	Arts & Sciences XIV Collection	Anthropology ; History ; History ; Social Sciences		
Abstracta Botanica	01336215		1971-01-01	1		1998-01-01	22		http://www.jstor.org/journal/abstbota		abstbota	P6Y	fulltext		Akadémiai Kiadó	serial						coenoses		P	1971-01-01 - 1998-01-01	Ecology & Botany II Collection	Botany & Plant Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics ; Zoology		
Abstracts of the Papers Communicated to the Royal Society of London	03650855		1843-01-01	5		1850-01-01	6		http://www.jstor.org/journal/abstpapecommroya		abstpapecommroya	P4Y	fulltext		Royal Society	serial						procroyasocilon3	abstpapeprinphil	P	1843-01-01 - 1850-01-01	Life Sciences Collection ; Health & General Sciences Collection	Biological Sciences ; General Science ; Mathematics ; Science & Mathematics	45610586	00-227484
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London	03655695		1800-01-01	1		1837-01-01	4		http://www.jstor.org/journal/abstpapeprinphil		abstpapeprinphil	P4Y	fulltext		Royal Society	serial						abstpapecommroya		P	1800-01-01 - 1837-01-01	Life Sciences Collection ; Health & General Sciences Collection	Biological Sciences ; General Science ; Mathematics ; Science & Mathematics	45610580	00-227483
ACA Newsletter	23721162	23753587	1972-10-01	2	2	1973-10-01	3	3	http://www.jstor.org/journal/acanewsletter		acanewsletter	P2Y	fulltext		Arms Control Association	serial						armscontroltoday		P	1972-10-01 - 1973-10-01	Arts & Sciences XII Collection	Peace & Conflict Studies ; Political Science ; Social Sciences	881534963	
Academe	01902946		1979-02-01	65	1	2012-11-01	98	6	http://www.jstor.org/journal/academe		academe	P4Y	fulltext		American Association of University Professors	serial							aaupbulletin	P	1979-02-01 - 2012-11-01	Arts & Sciences VIII Collection ; Public Library I Collection ; Corporate & For-Profit Access Initiative Collection	Education ; Social Sciences	61312813	2010234816
The Academy of Management Executive (1987-1989)	08963789		1987-02-01	1	1	1989-11-01	3	4	http://www.jstor.org/journal/acadmanaexec		acadmanaexec	P6Y	fulltext		Academy of Management	serial						executive		P	1987-02-01 - 1989-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Business II Collection	Business ; Business & Economics ; Management & Organizational Behavior	214280975	2008-234573
The Academy of Management Executive (1993-2005)	10795545		1993-05-01	7	2	2005-11-01	19	4	http://www.jstor.org/journal/acadmanaexe2		acadmanaexe2	P6Y	fulltext		Academy of Management	serial						acadmanapers	executive	P	1993-05-01 - 2005-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Business II Collection	Business ; Business & Economics ; Management & Organizational Behavior	48060993	2001-255007
The Academy of Management Journal	00014273		1963-03-01	6	1	2010-12-01	53	6	http://www.jstor.org/journal/acadmanaj		acadmanaj	P6Y	fulltext		Academy of Management	serial						acadmanarevi	jacadmana	P	1963-03-01 - 2010-12-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Social Sciences ; Sociology	48418838	2001-227361
Academy of Management Learning & Education	1537260X		2002-09-01	1	1	2010-12-01	9	4	http://www.jstor.org/journal/acadmanaleareduc		acadmanaleareduc	P6Y	fulltext		Academy of Management	serial								P	2002-09-01 - 2010-12-01	Arts & Sciences X Collection ; Business & Economics Collection ; Business III Collection	Business ; Business & Economics ; Education ; Management & Organizational Behavior ; Social Sciences	54659710	2008-214672
Academy of Management Perspectives	15589080	19434529	2006-02-01	20	1	2010-11-01	24	4	http://www.jstor.org/journal/acadmanapers		acadmanapers	P6Y	fulltext		Academy of Management	serial							acadmanaexe2	P	2006-02-01 - 2010-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Business II Collection	Business ; Business & Economics ; Management & Organizational Behavior	67618417	2008-214628
The Academy of Management Review	03637425		1976-01-01	1	1	2010-10-01	35	4	http://www.jstor.org/journal/acadmanarevi		acadmanarevi	P6Y	fulltext		Academy of Management	serial							acadmanaj	P	1976-01-01 - 2010-10-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Social Sciences ; Sociology	48415494	2001-227337
Acadiensis	00445851		1971-10-01	1	1	2013-07-01	42	2	http://www.jstor.org/journal/acadiensis		acadiensis	P3Y	fulltext		Acadiensis: Journal of the History of the Atlantic Region	serial								P	1971-10-01 - 2013-07-01	Arts & Sciences VIII Collection ; Public Library I Collection	History ; History	607655017	2011-235767
The Accounting Historians Journal	01484184		1974-01-01	1	1/4	2012-12-01	39	2	http://www.jstor.org/journal/accohistjour		accohistjour	P4Y	fulltext		Academy of Accounting Historians	serial								P	1974-01-01 - 2012-12-01	For-Profit Academic Arts & Sciences IX Collection ; Public Library I Collection ; Business & Economics Collection ; Arts & Sciences IX Collection ; Business III Collection	Business ; Business & Economics ; Economics ; Finance ; History ; History	60622645, 742574958	2007-263047, 2011-234611
The Accounting Review	00014826		1926-03-01	1	1	2010-11-01	85	6	http://www.jstor.org/journal/accountingreview		accountingreview	P6Y	fulltext		American Accounting Association	serial								P	1926-03-01 - 2010-11-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Business I Collection	Business ; Business & Economics	48415532	2001-227339
Acquisitions (Fogg Art Museum)	04403800		1959-01-01		1959/1962	1969-01-01		1969/1970	http://www.jstor.org/journal/acqufogg		acqufogg		fulltext	Publication of this title ceased in 1970.	President and Fellows of Harvard College	serial						direrepo	annurepofogg	P	1959-01-01 - 1969-01-01	Arts & Sciences V Collection	Art & Art History ; Arts	243886236	2008-236259
Acta Botánica Venezuélica	00845906		1965-01-01	1	1	2010-01-01	33	1	http://www.jstor.org/journal/actabotavene		actabotavene	P4Y	fulltext		Instituto Experimental Jardín Botánico "Dr. Tobías Lasser"	serial								P	1965-01-01 - 2010-01-01	Iberoamérica Collection ; Ecology & Botany II Collection	Botany & Plant Sciences ; Science & Mathematics	54703035	
Acta Criminologica	00651168	17183243	1968-01-01	1		1974-01-01	7		http://www.jstor.org/journal/actacrim		actacrim	P3Y	fulltext		Presses de l’Université de Montréal	serial						criminologie		P	1968-01-01 - 1974-01-01	Arts & Sciences XII Collection	Criminology & Criminal Justice ; Law ; Social Sciences ; Sociology	646977178	
Acta Historica Academiae Scientiarum Hungaricae	00015849	20647182	1951-01-01	1	1	1989-01-01	35	1/4	http://www.jstor.org/journal/actahistacadscie		actahistacadscie	P2Y	fulltext		Institute of History, Research Centre for the Humanities, Hungarian Academy of Sciences	serial						hunghistrevi		P	1951-01-01 - 1989-01-01		History ; History	609720755	
Acta Musicologica	00016241		1931-01-01	3	1	2012-01-01	84	1	http://www.jstor.org/journal/actamusicologica		actamusicologica	P4Y	fulltext		International Musicological Society	serial							mittintegesemusi	P	1931-01-01 - 2012-01-01	Arts & Sciences III Collection ; For-Profit Academic Arts & Sciences III Collection ; For-Profit Academic Music Collection ; Music Collection ; Public Library I Collection	Arts ; Music	53171967	2011-236606
Acta Oeconomica	00016373		1966-01-01	1	3/4	2010-12-01	60	4	http://www.jstor.org/journal/actaoeco		actaoeco	P6Y	fulltext		Akadémiai Kiadó	serial								P	1966-01-01 - 2010-12-01	Business & Economics Collection ; Arts & Sciences IX Collection ; Business III Collection	Business ; Business & Economics ; Economics	567441129	2011234196
Acta Orientalia Academiae Scientiarum Hungaricae	00016446	15882667	1950-01-01	1	1	2010-12-01	63	4	http://www.jstor.org/journal/actaorieacadscie		actaorieacadscie	P6Y	fulltext		Akadémiai Kiadó	serial								P	1950-01-01 - 2010-12-01	Arts & Sciences XII Collection	Area Studies ; Asian Studies ; Middle East Studies	60623521	2007-233671
Acta Sociologica	00016993		1955-01-01	1	1	2012-12-01	55	4	http://www.jstor.org/journal/actasoci		actasoci	P4Y	fulltext		Sage Publications, Ltd.	serial								P	1955-01-01 - 2012-12-01	Arts & Sciences VII Collection ; Public Library I Collection ; Corporate & For-Profit Access Initiative Collection ; For-Profit Academic Arts & Sciences VII Collection	Social Sciences ; Sociology	51540545	2007-233684
Acta Turistica	03534316	18486061	1989-01-01	1	1	2013-12-01	25	2	http://www.jstor.org/journal/actaturistica		actaturistica	P3Y	fulltext		Faculty of Economics and Business, University of Zagreb	serial								P	1989-01-01 - 2013-12-01	Arts & Sciences X Collection ; Public Library I Collection	Social Sciences ; Sociology	299071501	
Administrative Law Bulletin	21571147		1949-01-10	1	1	1960-04-01	12		http://www.jstor.org/journal/adminlawbull		adminlawbull	P4Y	fulltext		American Bar Association	serial						adminlawrev		P	1949-01-10 - 1960-04-01	Arts & Sciences XII Collection	Law ; Law	55848065	2009-268195
Administrative Law Review	00018368		1960-10-01	13		2012-10-01	64	4	http://www.jstor.org/journal/adminlawrev		adminlawrev	P4Y	fulltext		American Bar Association	serial							adminlawbull	P	1960-10-01 - 2012-10-01	Arts & Sciences XII Collection	Law ; Law	60355875	2009-268196
Administrative Science Quarterly	00018392		1956-06-01	1	1	2012-12-01	57	4	http://www.jstor.org/journal/admisciequar		admisciequar	P4Y	fulltext		Sage Publications, Inc.	serial								P	1956-06-01 - 2012-12-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Public Library I Collection ; For-Profit Academic Business Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Public Policy & Administration ; Social Sciences ; Sociology	48418629	2001-227349
Administrative Theory & Praxis	10841806		1993-01-01	15	1	2008-12-01	30	4	http://www.jstor.org/journal/admintheoprax		admintheoprax		fulltext	Coverage presently ends: 2008. JSTOR will resume a moving wall of 7 years in 2016.	Taylor & Francis, Ltd.	serial							dialogue	P	1993-01-01 - 2008-12-01	Arts & Sciences X Collection ; Business & Economics Collection ; Business III Collection	Business ; Business & Economics ; Public Policy & Administration ; Social Sciences	60627160	2009-201531
Advances in Applied Probability	00018678		1969-04-01	1	1	2012-12-01	44	4	http://www.jstor.org/journal/advaapplprob		advaapplprob	P4Y	fulltext		Applied Probability Trust	serial								P	1969-04-01 - 2012-12-01	Public Library I Collection ; Arts & Sciences VII Collection ; Mathematics & Statistics Collection ; Corporate & For-Profit Access Initiative Collection ; For-Profit Academic Arts & Sciences VII Collection	Science & Mathematics ; Statistics	49896882	2005 237200
